+------------------+----------------------+----------------------+
| UE_15_UEMP_CSM   | module not found in  | v23.9.1.1            |
|                  | qa                   |                      |
| UE_07_UEMP       | module not found in  | v23.9.1.1            |
|                  | qa                   |                      |
| DU_11            | 02.05.13             | 02.05.13             |
| CCL_SERVICE      | 23.08.21             | 23.09.20.2           |
| UE_06            | 03.01.05.01          | 04.01.02             |
| UE_06_UEMP_PUBS… | v23.7.2.1            | v23.9.1.1            |
| UE_02_UEMP_CSM   | v23.7.2.1            | v23.9.1.1            |
| UE_13            | module not found in  | 04.01.02             |
|                  | qa                   |                      |
| UE_01_UEMP       | v23.7.2.1            | v23.9.1.1            |
| UE_01_UEMP_CSM   | v23.7.2.1            | v23.9.1.1            |
| DU_12_RANP_PUBS… | v23.7.2.1            | module not found in  |
|                  |                      | qa2                  |
+------------------+----------------------+----------------------+
